Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
d171d808-1f31-4ad3-aba5-e03a2fa921c7,1983-04-03,,999-83-6585,S99914532,X18544570X,Mr.,Marco Antonio298,Hurtado459,,,M,hispanic,mexican,M,La Paz  Baja California  MX,552 Rippin Port,Revere,Massachusetts,Suffolk County,02151,42.49384661818001,-70.92858466579901,748893.99,2679.68
3603cd65-53a3-424b-bc82-76204326510d,1977-06-24,,999-62-4132,S99987902,X33240404X,Mr.,Guillermo498,Trantow673,,,M,white,irish,M,Southbridge  Massachusetts  US,1027 Satterfield Spur Unit 67,Richmond,Massachusetts,Berkshire County,,42.3901355236465,-73.32437332707846,870371.41,5315.999999999999
bd512b17-9e68-4b0e-8c5b-980007ecdee1,1991-10-21,,999-65-7753,S99933589,X60093276X,Mr.,Hernán834,Ojeda263,,,M,black,dominican,M,Marigot  Saint Andrew Parish  DM,257 Bradtke Mill Unit 35,Newton,Massachusetts,Middlesex County,02458,42.41993944471298,-71.12810792409715,607565.78,2855.62
21dd496c-2fec-4c9c-a0fe-c11ad5b2cdea,2006-12-17,,999-72-6694,,,,Francisco472,Prosacco716,,,,white,portuguese,M,Funchal  Madeira  PT,729 Nienow Gateway,Townsend,Massachusetts,Middlesex County,01469,42.698663691158494,-71.61492026370328,323891.14,2919.8399999999997
ab3533aa-8230-4608-9f06-4f4673123620,1977-10-14,,999-85-1774,S99964476,X82206403X,Mrs.,Elizabet136,Marks830,,Morissette863,M,white,french_canadian,F,Haverhill  Massachusetts  US,243 Bartoletti Neck Suite 63,Sturbridge,Massachusetts,Worcester County,01507,42.11021867449164,-72.0496900096315,870544.88,7831.979999999999
57c9b98b-35a2-4360-9a20-9958eaaeee7c,2009-07-07,,999-76-4196,,,,Essie785,Schultz619,,,,white,irish,F,Norfolk  Massachusetts  US,915 Jakubowski Meadow,West Newbury,Massachusetts,Essex County,,42.822650720169285,-70.93215002536606,246650.0,3095.64
1b37ae9f-f895-4f71-91b8-22bad1ed333a,1961-03-31,,999-98-8986,S99951669,X80073375X,Mr.,Miles206,Gutkowski940,,,M,white,irish,M,Yarmouth  Massachusetts  US,515 Ritchie Ville Suite 19,North Adams,Massachusetts,Berkshire County,01247,42.727192151964786,-73.02758645101184,179455.93,6734.0
2e80ccff-35b3-47b7-b19f-bce12b7e260e,2003-05-01,,999-25-1773,S99945946,,,Brigitte394,Jaskolski867,,,,black,african,F,Burlington  Massachusetts  US,500 Cremin Well Apt 31,Chelsea,Massachusetts,Suffolk County,02149,42.512272421807786,-70.97965099883588,52616.36,14691.019999999999
5bff9560-f815-4e21-a72d-84e40413bace,2018-11-02,,999-61-9847,,,,Ozzie259,Cummings51,,,,white,irish,M,Georgetown  Massachusetts  US,972 Hilpert Spur Unit 37,Falmouth,Massachusetts,Barnstable County,02540,41.68635248813762,-70.59485821928928,24200.0,645.8
c9b5fda8-649e-47f4-b394-786e15a0a9b7,2004-05-08,,999-32-2576,,,,Myron933,Waelchi213,,,,white,french_canadian,M,Russell  Massachusetts  US,703 Schoen Extension,Townsend,Massachusetts,Middlesex County,01469,42.666800060490694,-71.63656460600092,352575.82,2717.3199999999997
44b08ecf-2044-4a15-9eed-426a5bd3688b,1997-01-15,,999-94-2070,S99926658,X59338006X,Ms.,Dusti191,Osinski784,,,,white,french,F,Wilbraham  Massachusetts  US,224 Rowe Key,Yarmouth,Massachusetts,Barnstable County,,41.72624200366169,-70.20671594664563,605343.8,2810.64
a43dfba3-ed96-4663-8beb-18a06f5ab72c,2008-10-03,,999-63-7725,,,,Rutha66,Walter473,,,,white,french_canadian,F,Raynham  Massachusetts  US,906 Stoltenberg Vista Apt 68,Acushnet,Massachusetts,Bristol County,,41.80431273879912,-70.83444243265974,264654.9,2903.16
31c864af-38ad-476c-8061-fa3bc461a363,1988-02-28,,999-10-2971,S99962261,X14208705X,Mr.,Sean831,Luettgen772,,,M,white,english,M,Reading  Massachusetts  US,241 Lubowitz Skyway,Canton,Massachusetts,Norfolk County,,42.26002635708783,-71.09172383664978,652494.49,5494.319999999999
7a2e428b-cf7d-425e-be49-6cdf280c36e1,1991-06-26,,999-44-6117,S99976465,X23057210X,Mrs.,Samara159,Schimmel440,,McClure239,M,white,irish,F,Lynn  Massachusetts  US,521 Kreiger Bridge Suite 7,Hudson,Massachusetts,Middlesex County,01749,42.40291165764666,-71.53297028586628,567282.3,4156.24
0ca29d43-6456-426e-be49-02136f47485c,1964-02-29,2009-10-17,999-46-5215,S99925674,X76004050X,Mr.,Michael441,Dare640,,,M,white,american,M,Wakefield  Massachusetts  US,333 Walker Branch Suite 32,Somerville,Massachusetts,Middlesex County,02138,42.4322917081528,-71.01125724995319,1101097.41,4236.24
