Equipement;Login;Password
switch 1;admin;vmWeiwHoN3cO7zTM0Aai
switch 2;admin;lm9dNMxSH3kTZCjcdAZK
switch 3;admin;DPxVPko3KEyjEq8tG83y
switch 4;admin;rWisMsxcZYeRAz8LobM9
switch 5;admin;lzqqwYBn1inwYIXXkqdr
switch 6;admin;K8wHZEpzYZBoZxMMkqaK
switch 7;admin;iCrPLeMBTNHAXWWGrSvS
switch 8;admin;33y4bHEz7RkrOlg6iWIT
switch 9;admin;HQYx4tRKLDPFRBrjVz4v
switch 10;admin;3RQLlqxRkaO3Vmj5KJji
Palo alto 1;admin;xMDzEY71kKvQzleCrqpj
Palo alto 2;admin;xMDzEY71kKvQzleCrqpj
Serveur web;root;i<~IbCk`IJn8P\O`Mc+k
serveur ftp;root;KN4~Z>(tkQX:-E#+2ak=
